Model,MAE,RMSE,R²,MAPE,Within 10%,Within 20%
gradient_boosting,834985.9165289063,1125563.0549388079,0.7351288631458074,16.748367495034028,41.891891891891895,71.62162162162163
linear_regression,907563.093902855,1215388.651805028,0.6911658406851464,17.858405149071103,37.16216216216216,70.27027027027027
random_forest,821069.2693693694,1218657.5812970102,0.6895023156048852,16.87864883685225,47.2972972972973,66.21621621621621
baseline,1610172.7148691507,1984081.496971864,0.17697317486574526,33.97136216489179,18.91891891891892,39.189189189189186
